"Rhoto.Ac.1"	"Rhoto.Ac.2"	"Rhoto.Ac.3"	"Rhoto.Glc.1"	"Rhoto.Glc.2"	"Rhoto.Glc.3"	"Rhoto.So.1"	"Rhoto.So.2"	"Rhoto.So.3"	"Rhoto.Xyl.1"	"Rhoto.Xyl.2"	"Rhoto.Xyl.3"	"Rhoto.YP.1"	"Rhoto.YP.2"	"Rhoto.YP.3"
"mRNA_13"	6.34425628445506	6.44125172889169	6.62421499671755	6.65242006507225	6.82849624738774	6.77160314883036	5.62982262039311	5.74042913116952	5.72897936470823	6.04745071204267	6.37418566394347	6.4054929245151	6.33752257140005	6.55440910591856	6.31268530242466
"mRNA_14"	5.13716872423244	5.29658115361504	5.63871655257458	5.61411405244484	5.92809316197452	5.79369148232912	5.52563507842926	5.49946466763821	5.98067139880757	5.68775796757699	5.97319243472262	6.08868137882292	5.68300459914194	5.86561623820323	5.8007191144147
"mRNA_15"	2.28018346506345	2.63674573346455	3.04089304062747	6.16669483942755	6.74400383072436	7.10288724830936	3.51278229512563	4.33722142270345	4.51216115118819	5.3729738434962	5.43983656842071	5.48916136467575	5.46164880645639	6.21571472607726	2.08276983287503
"mRNA_16"	4.22219405243316	4.5802761870001	4.85713706904686	5.53687185450851	5.77993479381839	6.02297427132023	4.56094957411706	4.69401683139381	5.41478678812976	5.41967037145325	5.23086654255207	5.71781071575516	4.10492344709428	4.4819641646055	3.91496948400287
"mRNA_17"	9.10453090875628	8.7207529223394	8.88877621928363	8.84917054147216	9.0577218017184	8.96250201732154	8.04617566342676	8.40097487598901	8.13726616340858	8.45756904288774	8.5623778409362	8.5724820534854	7.57999879520589	8.00567467834058	7.0474204937934
"mRNA_18"	2.4758239925283	2.76547000814334	2.09384503491852	0.101260842763035	0.611300055576252	-0.394077578207055	1.75050364585924	2.89773661113224	2.47860517697798	1.84384876568919	1.48090980242724	1.55781712652454	2.14893711093717	2.36125656902429	1.56312558565828
"mRNA_19"	2.82263471124929	3.32077639517365	2.99488143013472	1.75828159293136	1.6895317754752	1.88329976528638	3.16368740833538	3.10212665407936	3.38391855386959	2.67726215849749	2.79312228370687	2.6832122669282	3.33582884262396	3.29925523987547	3.45735636825641
"mRNA_20"	5.28991587455455	5.850084950082	5.7304892620864	6.36061453078457	6.10412687214878	6.38805893986187	5.97044087943185	5.63735341598315	6.18529344034091	5.54142061902864	5.47267426660875	5.4422547582226	6.28733122386349	6.26134139232998	6.39845149217622
"mRNA_21"	1.16166005853236	1.50257118801409	1.615073547156	1.34016843628134	2.20065769083451	2.05364201271028	0.679430168981871	1.04597700766716	2.00209827675577	3.65205595009585	3.15864726099875	3.57815262547191	0.849286474196446	1.21951686998295	2.02338390420583
"mRNA_22"	6.95745427333962	6.80674882272238	7.10041069712025	5.50439217452509	5.90469488626404	5.46668177917234	7.67994150095682	7.38151769129254	7.40731925074033	6.89076534980593	6.88698094265264	6.80535055651257	8.33249389800208	7.92999549325277	8.93992164854784
"mRNA_23"	12.2878465982177	12.0461629364147	11.8173534724619	11.4974131264651	11.4872483738062	11.4214700705722	10.7189022629859	11.0977469690009	10.5288225959406	11.19599887345	11.190257095333	10.936898167667	10.7497073385437	10.6278215440394	9.83311136902317
"mRNA_25"	1.02544650891771	1.10856630978035	1.76880718378053	2.5988327142851	2.51274369352629	2.25338139992573	2.04662790043178	2.31363468813802	3.20095205205805	2.35426185054595	2.1010534179256	2.29582238299034	1.13528505489738	1.49587314115301	0.814826709996169
"mRNA_26"	7.60454566229846	7.54257184974635	7.37567933773957	6.88466314656443	6.69846643528107	6.70816063638599	7.35327152347411	7.18185676837177	7.06923182098065	6.76450421977205	6.87562523553141	6.91700100909054	7.13661629292509	7.05114120048347	7.15336423009064
